group,variable,value
1-Jan,Austria,1
1-Jan,Belgium,1
1-Jan,Switzerland,1
1-Jan,Germany,1
1-Jan,Denmark,1
1-Jan,Spain,1
1-Jan,Finland,1
1-Jan,France,1
1-Jan,United Kingdom,1
1-Jan,Greece,1
1-Jan,Hungary,1
1-Jan,Ireland,1
1-Jan,Iceland,1
1-Jan,Italy,1
1-Jan,Netherlands,1
1-Jan,Norway,1
1-Jan,Poland,1
1-Jan,Portugal,1
1-Jan,Sweden,1
1-Jan,Turkey,1
8-Jan,Austria,0.84
8-Jan,Belgium,0.81
8-Jan,Switzerland,0.82
8-Jan,Germany,0.85
8-Jan,Denmark,0.78
8-Jan,Spain,0.87
8-Jan,Finland,0.87
8-Jan,France,0.79
8-Jan,United Kingdom,0.76
8-Jan,Greece,0.68
8-Jan,Hungary,0.79
8-Jan,Ireland,0.77
8-Jan,Iceland,0.61
8-Jan,Italy,0.88
8-Jan,Netherlands,0.73
8-Jan,Norway,0.91
8-Jan,Poland,0.84
8-Jan,Portugal,0.82
8-Jan,Sweden,0.88
8-Jan,Turkey,0.92
15-Jan,Austria,0.82
15-Jan,Belgium,0.75
15-Jan,Switzerland,0.8
15-Jan,Germany,0.79
15-Jan,Denmark,0.78
15-Jan,Spain,0.81
15-Jan,Finland,0.8
15-Jan,France,0.77
15-Jan,United Kingdom,0.72
15-Jan,Greece,0.65
15-Jan,Hungary,0.71
15-Jan,Ireland,0.73
15-Jan,Iceland,0.58
15-Jan,Italy,0.74
15-Jan,Netherlands,0.72
15-Jan,Norway,0.86
15-Jan,Poland,0.75
15-Jan,Portugal,0.77
15-Jan,Sweden,0.85
15-Jan,Turkey,0.84
22-Jan,Austria,0.81
22-Jan,Belgium,0.72
22-Jan,Switzerland,0.8
22-Jan,Germany,0.77
22-Jan,Denmark,0.74
22-Jan,Spain,0.77
22-Jan,Finland,0.78
22-Jan,France,0.71
22-Jan,United Kingdom,0.72
22-Jan,Greece,0.5
22-Jan,Hungary,0.74
22-Jan,Ireland,0.75
22-Jan,Iceland,0.55
22-Jan,Italy,0.77
22-Jan,Netherlands,0.7
22-Jan,Norway,0.83
22-Jan,Poland,0.75
22-Jan,Portugal,0.75
22-Jan,Sweden,0.81
22-Jan,Turkey,0.81
29-Jan,Austria,0.77
29-Jan,Belgium,0.72
29-Jan,Switzerland,0.75
29-Jan,Germany,0.73
29-Jan,Denmark,0.69
29-Jan,Spain,0.72
29-Jan,Finland,0.7
29-Jan,France,0.66
29-Jan,United Kingdom,0.7
29-Jan,Greece,0.51
29-Jan,Hungary,0.73
29-Jan,Ireland,0.72
29-Jan,Iceland,0.53
29-Jan,Italy,0.75
29-Jan,Netherlands,0.67
29-Jan,Norway,0.76
29-Jan,Poland,0.72
29-Jan,Portugal,0.75
29-Jan,Sweden,0.77
29-Jan,Turkey,0.75
5-Feb,Austria,0.72
5-Feb,Belgium,0.69
5-Feb,Switzerland,0.71
5-Feb,Germany,0.65
5-Feb,Denmark,0.67
5-Feb,Spain,0.69
5-Feb,Finland,0.69
5-Feb,France,0.67
5-Feb,United Kingdom,0.69
5-Feb,Greece,0.45
5-Feb,Hungary,0.67
5-Feb,Ireland,0.7
5-Feb,Iceland,0.45
5-Feb,Italy,0.68
5-Feb,Netherlands,0.62
5-Feb,Norway,0.73
5-Feb,Poland,0.69
5-Feb,Portugal,0.7
5-Feb,Sweden,0.71
5-Feb,Turkey,0.7
12-Feb,Austria,0.7
12-Feb,Belgium,0.63
12-Feb,Switzerland,0.68
12-Feb,Germany,0.63
12-Feb,Denmark,0.64
12-Feb,Spain,0.67
12-Feb,Finland,0.64
12-Feb,France,0.66
12-Feb,United Kingdom,0.67
12-Feb,Greece,0.44
12-Feb,Hungary,0.64
12-Feb,Ireland,0.69
12-Feb,Iceland,0.45
12-Feb,Italy,0.61
12-Feb,Netherlands,0.63
12-Feb,Norway,0.68
12-Feb,Poland,0.67
12-Feb,Portugal,0.65
12-Feb,Sweden,0.66
12-Feb,Turkey,0.66
19-Feb,Austria,0.63
19-Feb,Belgium,0.6
19-Feb,Switzerland,0.65
19-Feb,Germany,0.6
19-Feb,Denmark,0.6
19-Feb,Spain,0.64
19-Feb,Finland,0.6
19-Feb,France,0.63
19-Feb,United Kingdom,0.64
19-Feb,Greece,0.39
19-Feb,Hungary,0.56
19-Feb,Ireland,0.6
19-Feb,Iceland,0.42
19-Feb,Italy,0.64
19-Feb,Netherlands,0.6
19-Feb,Norway,0.62
19-Feb,Poland,0.64
19-Feb,Portugal,0.65
19-Feb,Sweden,0.64
19-Feb,Turkey,0.63
26-Feb,Austria,0.64
26-Feb,Belgium,0.6
26-Feb,Switzerland,0.6
26-Feb,Germany,0.6
26-Feb,Denmark,0.57
26-Feb,Spain,0.63
26-Feb,Finland,0.58
26-Feb,France,0.61
26-Feb,United Kingdom,0.57
26-Feb,Greece,0.4
26-Feb,Hungary,0.58
26-Feb,Ireland,0.61
26-Feb,Iceland,0.38
26-Feb,Italy,0.62
26-Feb,Netherlands,0.54
26-Feb,Norway,0.62
26-Feb,Poland,0.62
26-Feb,Portugal,0.64
26-Feb,Sweden,0.56
26-Feb,Turkey,0.63
5-Mar,Austria,0.56
5-Mar,Belgium,0.55
5-Mar,Switzerland,0.55
5-Mar,Germany,0.53
5-Mar,Denmark,0.49
5-Mar,Spain,0.56
5-Mar,Finland,0.49
5-Mar,France,0.53
5-Mar,United Kingdom,0.51
5-Mar,Greece,0.26
5-Mar,Hungary,0.5
5-Mar,Ireland,0.49
5-Mar,Iceland,0.25
5-Mar,Italy,0.57
5-Mar,Netherlands,0.48
5-Mar,Norway,0.57
5-Mar,Poland,0.56
5-Mar,Portugal,0.58
5-Mar,Sweden,0.49
5-Mar,Turkey,0.57
12-Mar,Austria,0.56
12-Mar,Belgium,0.56
12-Mar,Switzerland,0.55
12-Mar,Germany,0.54
12-Mar,Denmark,0.52
12-Mar,Spain,0.55
12-Mar,Finland,0.43
12-Mar,France,0.52
12-Mar,United Kingdom,0.51
12-Mar,Greece,0.23
12-Mar,Hungary,0.49
12-Mar,Ireland,0.52
12-Mar,Iceland,0.22
12-Mar,Italy,0.54
12-Mar,Netherlands,0.45
12-Mar,Norway,0.53
12-Mar,Poland,0.56
12-Mar,Portugal,0.58
12-Mar,Sweden,0.5
12-Mar,Turkey,0.58
19-Mar,Austria,0.49
19-Mar,Belgium,0.41
19-Mar,Switzerland,0.48
19-Mar,Germany,0.47
19-Mar,Denmark,0.43
19-Mar,Spain,0.55
19-Mar,Finland,0.34
19-Mar,France,0.42
19-Mar,United Kingdom,0.48
19-Mar,Greece,0.19
19-Mar,Hungary,0.4
