group,variable,value
Jan-17,Worldwide,1
Jan-17,Worldwide,0.87
Jan-17,Worldwide,0.83
Jan-17,Worldwide,0.82
Jan-17,Worldwide,0.78
Feb-17,Worldwide,0.75
Feb-17,Worldwide,0.72
Feb-17,Worldwide,0.7
Feb-17,Worldwide,0.67
Mar-17,Worldwide,0.6
Mar-17,Worldwide,0.59
Mar-17,Worldwide,0.51
Mar-17,Worldwide,0.49
Apr-17,Worldwide,0.49
Apr-17,Worldwide,0.46
Apr-17,Worldwide,0.44
Apr-17,Worldwide,0.45
Apr-17,Worldwide,0.41
May-17,Worldwide,0.39
May-17,Worldwide,0.37
May-17,Worldwide,0.37
May-17,Worldwide,0.37
Jun-17,Worldwide,0.36
Jun-17,Worldwide,0.33
Jun-17,Worldwide,0.31
Jun-17,Worldwide,0.31
Jul-17,Worldwide,0.29
Jul-17,Worldwide,0.32
Jul-17,Worldwide,0.29
Jul-17,Worldwide,0.22
Jul-17,Worldwide,0.26
Aug-17,Worldwide,0.26
Aug-17,Worldwide,0.24
Aug-17,Worldwide,0.25
Aug-17,Worldwide,0.2
Sep-17,Worldwide,0.21
Sep-17,Worldwide,0.2
Sep-17,Worldwide,0.18
Sep-17,Worldwide,0.16
Oct-17,Worldwide,0.16
Oct-17,Worldwide,0.15
Oct-17,Worldwide,0.15
Oct-17,Worldwide,0.14
Oct-17,Worldwide,0.14
Nov-17,Worldwide,0.1
Nov-17,Worldwide,0.11
Nov-17,Worldwide,0.12
Nov-17,Worldwide,0.1
Dec-17,Worldwide,0.06
Dec-17,Worldwide,0.07
Dec-17,Worldwide,0.06
Dec-17,Worldwide,0.02
Dec-17,Worldwide,0.17
Jan-18,Worldwide,0.09
