group	variable	value
1/1/17	AR	1
1/1/17	AT	1
1/1/17	AU	1
1/1/17	BE	1
1/1/17	BO	1
1/1/17	BR	1
1/1/17	CA	1
1/1/17	CH	1
1/1/17	CL	1
1/1/17	CO	1
1/1/17	CR	1
1/1/17	CZ	1
1/1/17	DE	1
1/1/17	DK	1
1/1/17	DO	1
1/1/17	EC	1
1/1/17	ES	1
1/1/17	FI	1
1/1/17	FR	1
1/1/17	GB	1
1/1/17	GLOBAL	1
1/1/17	GR	1
1/1/17	GT	1
1/1/17	HK	1
1/1/17	HN	1
1/1/17	HU	1
1/1/17	ID	1
1/1/17	IE	1
1/1/17	IS	1
1/1/17	IT	1
1/1/17	JP	1
1/1/17	MX	1
1/1/17	MY	1
1/1/17	NL	1
1/1/17	NO	1
1/1/17	NZ	1
1/1/17	PA	1
1/1/17	PE	1
1/1/17	PH	1
1/1/17	PL	1
1/1/17	PT	1
1/1/17	PY	1
1/1/17	SE	1
1/1/17	SG	1
1/1/17	SV	1
1/1/17	TR	1
1/1/17	TW	1
1/1/17	US	1
1/1/17	UY	1
1/8/17	AR	0.76
1/8/17	AT	0.84
1/8/17	AU	0.87
1/8/17	BE	0.81
1/8/17	BO	0.91
1/8/17	BR	0.88
1/8/17	CA	0.82
1/8/17	CH	0.82
1/8/17	CL	0.73
1/8/17	CO	0.68
1/8/17	CR	0.8
1/8/17	CZ	0.78
1/8/17	DE	0.85
1/8/17	DK	0.78
1/8/17	DO	0.82
1/8/17	EC	0.82
1/8/17	ES	0.87
1/8/17	FI	0.87
1/8/17	FR	0.79
1/8/17	GB	0.76
1/8/17	GLOBAL	0.87
1/8/17	GR	0.68
1/8/17	GT	0.89
1/8/17	HK	0.87
1/8/17	HN	0.86
1/8/17	HU	0.79
1/8/17	ID	0.91
1/8/17	IE	0.77
1/8/17	IS	0.61
1/8/17	IT	0.88
1/8/17	JP	0.65
1/8/17	MX	0.79
1/8/17	MY	0.92
1/8/17	NL	0.73
1/8/17	NO	0.91
1/8/17	NZ	0.86
1/8/17	PA	0.87
1/8/17	PE	0.84
1/8/17	PH	0.92
1/8/17	PL	0.84
1/8/17	PT	0.82
1/8/17	PY	0.82
1/8/17	SE	0.88
1/8/17	SG	0.9
1/8/17	SV	0.89
1/8/17	TR	0.92
1/8/17	TW	0.82
1/8/17	US	0.76
1/8/17	UY	0.85
1/15/17	AR	0.73
1/15/17	AT	0.82
1/15/17	AU	0.84
1/15/17	BE	0.75
1/15/17	BO	0.81
1/15/17	BR	0.84
1/15/17	CA	0.8
1/15/17	CH	0.8
1/15/17	CL	0.7
1/15/17	CO	0.65
1/15/17	CR	0.8
1/15/17	CZ	0.71
1/15/17	DE	0.79
1/15/17	DK	0.78
1/15/17	DO	0.79
1/15/17	EC	0.8
1/15/17	ES	0.81
1/15/17	FI	0.8
1/15/17	FR	0.77
1/15/17	GB	0.72
1/15/17	GLOBAL	0.83
1/15/17	GR	0.65
1/15/17	GT	0.8
1/15/17	HK	0.81
1/15/17	HN	0.8
1/15/17	HU	0.71
1/15/17	ID	0.84
1/15/17	IE	0.73
1/15/17	IS	0.58
1/15/17	IT	0.74
1/15/17	JP	0.51
1/15/17	MX	0.78
1/15/17	MY	0.87
1/15/17	NL	0.72
1/15/17	NO	0.86
1/15/17	NZ	0.84
1/15/17	PA	0.82
1/15/17	PE	0.8
1/15/17	PH	0.9
1/15/17	PL	0.75
1/15/17	PT	0.77
1/15/17	PY	0.82
1/15/17	SE	0.85
1/15/17	SG	0.86
1/15/17	SV	0.81
1/15/17	TR	0.84
1/15/17	TW	0.79
1/15/17	US	0.76
1/15/17	UY	0.78
1/22/17	AR	0.71
1/22/17	AT	0.81
1/22/17	AU	0.84
1/22/17	BE	0.72
1/22/17	BO	0.78
1/22/17	BR	0.82
1/22/17	CA	0.79
1/22/17	CH	0.8
1/22/17	CL	0.62
1/22/17	CO	0.63
1/22/17	CR	0.79
1/22/17	CZ	0.77
1/22/17	DE	0.77
1/22/17	DK	0.74
1/22/17	DO	0.78
1/22/17	EC	0.76
1/22/17	ES	0.77
1/22/17	FI	0.78
1/22/17	FR	0.71
1/22/17	GB	0.72
1/22/17	GLOBAL	0.82
1/22/17	GR	0.5
1/22/17	GT	0.73
1/22/17	HK	0.79
1/22/17	HN	0.76
1/22/17	HU	0.74
1/22/17	ID	0.78
1/22/17	IE	0.75
1/22/17	IS	0.55
1/22/17	IT	0.77
1/22/17	JP	0.43
1/22/17	MX	0.78
1/22/17	MY	0.84
1/22/17	NL	0.7
1/22/17	NO	0.83
1/22/17	NZ	0.84
1/22/17	PA	0.79
1/22/17	PE	0.79
1/22/17	PH	0.87
1/22/17	PL	0.75
1/22/17	PT	0.75
1/22/17	PY	0.8
1/22/17	SE	0.81
1/22/17	SG	0.81
1/22/17	SV	0.79
1/22/17	TR	0.81
1/22/17	TW	0.75
1/22/17	US	0.74
1/22/17	UY	0.78
1/29/17	AR	0.7
1/29/17	AT	0.77
1/29/17	AU	0.81
1/29/17	BE	0.72
1/29/17	BO	0.8
1/29/17	BR	0.78
1/29/17	CA	0.75
1/29/17	CH	0.75
1/29/17	CL	0.61
1/29/17	CO	0.64
1/29/17	CR	0.78
1/29/17	CZ	0.72
1/29/17	DE	0.73
1/29/17	DK	0.69
1/29/17	DO	0.76
1/29/17	EC	0.76
1/29/17	ES	0.72
1/29/17	FI	0.7
1/29/17	FR	0.66
1/29/17	GB	0.7
1/29/17	GLOBAL	0.78
1/29/17	GR	0.51
1/29/17	GT	0.72
1/29/17	HK	0.76
1/29/17	HN	0.74
1/29/17	HU	0.73
1/29/17	ID	0.8
1/29/17	IE	0.72
1/29/17	IS	0.53
1/29/17	IT	0.75
1/29/17	JP	0.38
1/29/17	MX	0.73
1/29/17	MY	0.8
1/29/17	NL	0.67
1/29/17	NO	0.76
1/29/17	NZ	0.84
1/29/17	PA	0.76
1/29/17	PE	0.76
1/29/17	PH	0.84
1/29/17	PL	0.72
1/29/17	PT	0.75
1/29/17	PY	0.79
1/29/17	SE	0.77
1/29/17	SG	0.79
1/29/17	SV	0.7
1/29/17	TR	0.75
1/29/17	TW	0.75
1/29/17	US	0.7
1/29/17	UY	0.74
2/5/17	AR	0.64
2/5/17	AT	0.72
2/5/17	AU	0.78
2/5/17	BE	0.69
2/5/17	BO	0.72
2/5/17	BR	0.76
2/5/17	CA	0.71
2/5/17	CH	0.71
2/5/17	CL	0.6
2/5/17	CO	0.61
2/5/17	CR	0.75
2/5/17	CZ	0.7
2/5/17	DE	0.65
2/5/17	DK	0.67
2/5/17	DO	0.69
2/5/17	EC	0.74
2/5/17	ES	0.69
2/5/17	FI	0.69
2/5/17	FR	0.67
2/5/17	GB	0.69
2/5/17	GLOBAL	0.75
2/5/17	GR	0.45
2/5/17	GT	0.72
2/5/17	HK	0.74
2/5/17	HN	0.7
2/5/17	HU	0.67
2/5/17	ID	0.76
2/5/17	IE	0.7
2/5/17	IS	0.45
2/5/17	IT	0.68
2/5/17	JP	0.35
2/5/17	MX	0.72
2/5/17	MY	0.77
2/5/17	NL	0.62
2/5/17	NO	0.73
2/5/17	NZ	0.8
2/5/17	PA	0.73
2/5/17	PE	0.72
2/5/17	PH	0.8
2/5/17	PL	0.69
2/5/17	PT	0.7
2/5/17	PY	0.79
2/5/17	SE	0.71
2/5/17	SG	0.78
2/5/17	SV	0.67
2/5/17	TR	0.7
2/5/17	TW	0.69
2/5/17	US	0.65
2/5/17	UY	0.76
2/12/17	AR	0.64
2/12/17	AT	0.7
2/12/17	AU	0.76
2/12/17	BE	0.63
2/12/17	BO	0.67
2/12/17	BR	0.72
2/12/17	CA	0.68
2/12/17	CH	0.68
2/12/17	CL	0.58
2/12/17	CO	0.6
2/12/17	CR	0.73
2/12/17	CZ	0.65
2/12/17	DE	0.63
2/12/17	DK	0.64
2/12/17	DO	0.66
2/12/17	EC	0.73
2/12/17	ES	0.67
2/12/17	FI	0.64
2/12/17	FR	0.66
2/12/17	GB	0.67
2/12/17	GLOBAL	0.72
2/12/17	GR	0.44
2/12/17	GT	0.68
2/12/17	HK	0.7
2/12/17	HN	0.67
2/12/17	HU	0.64
2/12/17	ID	0.75
2/12/17	IE	0.69
2/12/17	IS	0.45
2/12/17	IT	0.61
2/12/17	JP	0.36
2/12/17	MX	0.68
2/12/17	MY	0.75
2/12/17	NL	0.63
2/12/17	NO	0.68
2/12/17	NZ	0.76
2/12/17	PA	0.7
2/12/17	PE	0.7
2/12/17	PH	0.74
2/12/17	PL	0.67
2/12/17	PT	0.65
2/12/17	PY	0.75
2/12/17	SE	0.66
2/12/17	SG	0.75
2/12/17	SV	0.66
2/12/17	TR	0.66
2/12/17	TW	0.66
2/12/17	US	0.65
2/12/17	UY	0.74
2/19/17	AR	0.62
2/19/17	AT	0.63
2/19/17	AU	0.72
2/19/17	BE	0.6
2/19/17	BO	0.65
2/19/17	BR	0.7
2/19/17	CA	0.63
2/19/17	CH	0.65
2/19/17	CL	0.59
2/19/17	CO	0.6
2/19/17	CR	0.72
2/19/17	CZ	0.62
2/19/17	DE	0.6
2/19/17	DK	0.6
2/19/17	DO	0.65
2/19/17	EC	0.7
2/19/17	ES	0.64
2/19/17	FI	0.6
2/19/17	FR	0.63
2/19/17	GB	0.64
